[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64-32 --kdir /mnt/m2data/linux-worktrees/v6.17 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.17
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.17
Detected kernel version: 6.17.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv32', compat=True, ...)
[D] compat_sys_call_table[144]: Symbol("__riscv_sys_setgid" at 0xffffffff8003e45c, type=FUNC, size=0x18)
[D] compat_sys_call_table[145]: Symbol("__riscv_sys_setreuid" at 0xffffffff8003e660, type=FUNC, size=0x1a)
[D] compat_sys_call_table[146]: Symbol("__riscv_sys_setuid" at 0xffffffff8003e768, type=FUNC, size=0x18)
[D] compat_sys_call_table[147]: Symbol("__riscv_sys_setresuid" at 0xffffffff8003ead4, type=FUNC, size=0x1c)
[D] compat_sys_call_table[148]: Symbol("__riscv_sys_getresuid" at 0xffffffff8003eaf0, type=FUNC, size=0x298)
[D] compat_sys_call_table[149]: Symbol("__riscv_sys_setresgid" at 0xffffffff8003f0a4, type=FUNC, size=0x1c)
[D] compat_sys_call_table[150]: Symbol("__riscv_sys_getresgid" at 0xffffffff8003f0c0, type=FUNC, size=0x27e)
[D] compat_sys_call_table[151]: Symbol("__riscv_sys_setfsuid" at 0xffffffff8003f3f8, type=FUNC, size=0x18)
[D] compat_sys_call_table[152]: Symbol("__riscv_sys_setfsgid" at 0xffffffff8003f4c8, type=FUNC, size=0x18)
[D] compat_sys_call_table[153]: Symbol("__riscv_compat_sys_times" at 0xffffffff8003f634, type=FUNC, size=0x120)
[D] compat_sys_call_table[154]: Symbol("__riscv_sys_setpgid" at 0xffffffff8003f754, type=FUNC, size=0x17c)
[D] compat_sys_call_table[155]: Symbol("__riscv_sys_getpgid" at 0xffffffff8003f8d0, type=FUNC, size=0x50)
[D] compat_sys_call_table[156]: Symbol("__riscv_sys_getsid" at 0xffffffff8003f920, type=FUNC, size=0x4e)
[D] compat_sys_call_table[157]: Symbol("__riscv_sys_setsid" at 0xffffffff8003fa68, type=FUNC, size=0x14)
[D] compat_sys_call_table[158]: Symbol("__riscv_sys_getgroups" at 0xffffffff80056744, type=FUNC, size=0x16c)
[D] compat_sys_call_table[159]: Symbol("__riscv_sys_setgroups" at 0xffffffff800568e4, type=FUNC, size=0x234)
[D] compat_sys_call_table[160]: Symbol("__riscv_sys_newuname" at 0xffffffff8003fa7c, type=FUNC, size=0x18)
[D] compat_sys_call_table[161]: Symbol("__riscv_sys_sethostname" at 0xffffffff8003fa94, type=FUNC, size=0x102)
[D] compat_sys_call_table[162]: Symbol("__riscv_sys_setdomainname" at 0xffffffff8003fb98, type=FUNC, size=0x102)
[D] compat_sys_call_table[163]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
[D] compat_sys_call_table[164]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff800136d4, type=FUNC, size=0x14)
